NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
GOBP_RESOLUTION_OF_MEIOTIC_RECOMBINATION_INTERMEDIATES	18	18		
GOBP_TELOMERE_MAINTENANCE_VIA_RECOMBINATION	15	15		
GOBP_TELOMERE_MAINTENANCE	154	150		
GOBP_RECOMBINATIONAL_REPAIR	173	168		
GOBP_DOUBLE_STRAND_BREAK_REPAIR_VIA_BREAK_INDUCED_REPLICATION	12		Rejected!	
GOBP_DNA_DOUBLE_STRAND_BREAK_PROCESSING	22	20		
GOBP_DNA_SYNTHESIS_INVOLVED_IN_DNA_REPAIR	40	38		
GOBP_DNA_CATABOLIC_PROCESS_ENDONUCLEOLYTIC	26	22		
GOBP_DNA_CATABOLIC_PROCESS_EXONUCLEOLYTIC	5		Rejected!	
GOBP_SISTER_CHROMATID_SEGREGATION	241	230		
GOBP_REGULATION_OF_GLUTAMINE_FAMILY_AMINO_ACID_METABOLIC_PROCESS	8		Rejected!	
GOBP_CELL_MORPHOGENESIS	1019		Rejected!	
GOBP_CELL_MORPHOGENESIS_INVOLVED_IN_DIFFERENTIATION	724		Rejected!	
GOBP_CYTOKINESIS	187	173		
GOBP_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS	127	124		
GOBP_MITOCHONDRIAL_RNA_CATABOLIC_PROCESS	6		Rejected!	
GOBP_MITOCHONDRIAL_RNA_METABOLIC_PROCESS	50	49		
GOBP_REGULATION_OF_MITOCHONDRIAL_RNA_CATABOLIC_PROCESS	5		Rejected!	
GOBP_MITOCHONDRIAL_RNA_PROCESSING	20	20		
GOBP_MITOCHONDRIAL_RNA_3_END_PROCESSING	5		Rejected!	
GOBP_RNA_5_END_PROCESSING	23	23		
GOBP_RRNA_5_END_PROCESSING	5		Rejected!	
GOBP_TRANSCRIPTION_DEPENDENT_TETHERING_OF_RNA_POLYMERASE_II_GENE_DNA_AT_NUCLEAR_PERIPHERY	6		Rejected!	
GOBP_RESPONSE_TO_ACID_CHEMICAL	133	114		
GOBP_RNA_POLYMERASE_I_PREINITIATION_COMPLEX_ASSEMBLY	11		Rejected!	
GOBP_FORMATION_OF_EXTRACHROMOSOMAL_CIRCULAR_DNA	15	15		
GOBP_GUANINE_NUCLEOTIDE_TRANSPORT	8		Rejected!	
GOBP_SKELETAL_SYSTEM_DEVELOPMENT	540	481		
GOBP_OSSIFICATION	428	374		
GOBP_NEUROTRANSMITTER_UPTAKE	44	35		
GOBP_REGULATION_OF_NEUROTRANSMITTER_LEVELS	220	186		
GOBP_ACTION_POTENTIAL	146	119		
GOBP_RNA_METHYLATION	90	90		
GOBP_PSEUDOURIDINE_SYNTHESIS	18	18		
GOBP_CILIUM_OR_FLAGELLUM_DEPENDENT_CELL_MOTILITY	159	120		
GOBP_OVARIAN_FOLLICLE_DEVELOPMENT	58	54		
GOBP_OVULATION_FROM_OVARIAN_FOLLICLE	10		Rejected!	
GOBP_ANTRAL_OVARIAN_FOLLICLE_GROWTH	10		Rejected!	
GOBP_LUTEINIZATION	12		Rejected!	
GOBP_LUTEOLYSIS	7		Rejected!	
GOBP_OOCYTE_MATURATION	30	29		
GOBP_FATTY_ACID_ALPHA_OXIDATION	7		Rejected!	
GOBP_RESPONSE_TO_PROTOZOAN	28	16		
GOBP_BRANCHING_INVOLVED_IN_BLOOD_VESSEL_MORPHOGENESIS	36	31		
GOBP_VASCULOGENESIS	81	74		
GOBP_GANGLIOSIDE_METABOLIC_PROCESS	27	23		
GOBP_GANGLIOSIDE_BIOSYNTHETIC_PROCESS	17		Rejected!	
GOBP_MICROTUBULE_BUNDLE_FORMATION	125	107		
GOBP_OSTEOBLAST_DIFFERENTIATION	246	211		
GOBP_UROGENITAL_SYSTEM_DEVELOPMENT	361	325		
GOBP_METANEPHROS_DEVELOPMENT	92	77		
GOBP_TEMPERATURE_HOMEOSTASIS	178	156		
GOBP_FEVER_GENERATION	11		Rejected!	
GOBP_AMEBOIDAL_TYPE_CELL_MIGRATION	495	392		
GOBP_ACROSOME_ASSEMBLY	23	16		
GOBP_LONG_CHAIN_FATTY_ACID_METABOLIC_PROCESS	111	92		
GOBP_CELLULAR_GLUCOSE_HOMEOSTASIS	159	124		
GOBP_TRNA_5_LEADER_REMOVAL	13		Rejected!	
GOBP_HISTAMINE_METABOLIC_PROCESS	6		Rejected!	
GOBP_GASTRIC_ACID_SECRETION	18	16		
GOBP_IN_UTERO_EMBRYONIC_DEVELOPMENT	395	368		
GOBP_GASTRULATION_WITH_MOUTH_FORMING_SECOND	28	20		
GOBP_FORMATION_OF_PRIMARY_GERM_LAYER	127	111		
GOBP_ENDODERM_FORMATION	58	51		
GOBP_CELL_FATE_SPECIFICATION	109	81		
GOBP_CELL_FATE_DETERMINATION	44	30		
GOBP_MESODERMAL_CELL_FATE_COMMITMENT	18		Rejected!	
GOBP_ENDODERMAL_CELL_FATE_COMMITMENT	15		Rejected!	
GOBP_ENDODERMAL_CELL_FATE_SPECIFICATION	8		Rejected!	
GOBP_FORMATION_OF_TRANSLATION_PREINITIATION_COMPLEX	12		Rejected!	
GOBP_FORMATION_OF_CYTOPLASMIC_TRANSLATION_INITIATION_COMPLEX	16	16		
GOBP_MORPHOGENESIS_OF_A_POLARIZED_EPITHELIUM	98	93		
GOBP_EYE_PHOTORECEPTOR_CELL_DIFFERENTIATION	48	41		
GOBP_SOMITOGENESIS	66	55		
GOBP_SOMITE_SPECIFICATION	5		Rejected!	
GOBP_ORGAN_INDUCTION	24	21		
GOBP_MORPHOGENESIS_OF_A_BRANCHING_STRUCTURE	203	179		
GOBP_NEURON_MIGRATION	177	153		
GOBP_MEMBRANE_RAFT_ASSEMBLY	10		Rejected!	
GOBP_ESTABLISHMENT_OF_LYMPHOCYTE_POLARITY	16		Rejected!	
GOBP_IMMUNOLOGICAL_SYNAPSE_FORMATION	16		Rejected!	
GOBP_MYELOID_DENDRITIC_CELL_ACTIVATION	29	22		
GOBP_CELL_ACTIVATION	1150		Rejected!	
GOBP_LEUKOCYTE_HOMEOSTASIS	100	85		
GOBP_PLASMA_MEMBRANE_REPAIR	30	30		
GOBP_NATURAL_KILLER_CELL_DIFFERENTIATION	25	20		
GOBP_NEUTROPHIL_HOMEOSTASIS	20	18		
GOBP_NEUTROPHIL_APOPTOTIC_PROCESS	8		Rejected!	
GOBP_B_CELL_HOMEOSTASIS	33	28		
GOBP_B_CELL_APOPTOTIC_PROCESS	27	22		
GOBP_NATURAL_KILLER_CELL_PROLIFERATION	15		Rejected!	
GOBP_ANTIBODY_DEPENDENT_CELLULAR_CYTOTOXICITY	5		Rejected!	
GOBP_CYTOKINE_PRODUCTION	841		Rejected!	
GOBP_NEGATIVE_REGULATION_OF_CYTOKINE_PRODUCTION	373	226		
GOBP_POSITIVE_REGULATION_OF_CYTOKINE_PRODUCTION	487	370		
GOBP_SEROTONIN_SECRETION	9		Rejected!	
GOBP_HISTAMINE_SECRETION	13		Rejected!	
GOBP_MESONEPHROS_DEVELOPMENT	102	91		
GOBP_BLASTOCYST_DEVELOPMENT	116	107		
GOBP_BLASTOCYST_FORMATION	45	39		
GOBP_INNER_CELL_MASS_CELL_DIFFERENTIATION	8		Rejected!	
GOBP_TROPHECTODERMAL_CELL_DIFFERENTIATION	19	16		
GOBP_BLASTOCYST_GROWTH	22	21		
GOBP_INNER_CELL_MASS_CELL_PROLIFERATION	14		Rejected!	
GOBP_RELEASE_OF_CYTOCHROME_C_FROM_MITOCHONDRIA	56	53		
GOBP_EPITHELIAL_TO_MESENCHYMAL_TRANSITION	171	149		
GOBP_NEURAL_PLATE_MORPHOGENESIS	5		Rejected!	
GOBP_NEURAL_PLATE_DEVELOPMENT	9		Rejected!	
GOBP_NEURAL_TUBE_FORMATION	106	98		
GOBP_NEURAL_FOLD_FORMATION	7		Rejected!	
GOBP_PROTEIN_INSERTION_INTO_MITOCHONDRIAL_MEMBRANE_INVOLVED_IN_APOPTOTIC_SIGNALING_PATHWAY	6		Rejected!	
GOBP_PHAGOLYSOSOME_ASSEMBLY	19	17		
GOBP_NK_T_CELL_DIFFERENTIATION	10		Rejected!	
GOBP_NK_T_CELL_PROLIFERATION	9		Rejected!	
GOBP_COMPLEMENT_ACTIVATION_LECTIN_PATHWAY	12		Rejected!	
GOBP_RESPONSE_TO_YEAST	7		Rejected!	
GOBP_RECEPTOR_RECYCLING	33	31		
GOBP_ENDOTHELIAL_CELL_DEVELOPMENT	70	67		
GOBP_ENDOTHELIAL_CELL_MORPHOGENESIS	12		Rejected!	
GOBP_PLACENTA_DEVELOPMENT	151	138		
GOBP_EMBRYONIC_PLACENTA_DEVELOPMENT	88	80		
GOBP_MATERNAL_PLACENTA_DEVELOPMENT	35	32		
GOBP_TISSUE_HOMEOSTASIS	275	228		
GOBP_RETINA_HOMEOSTASIS	80	60		
GOBP_CELL_KILLING	191	115		
GOBP_LEUKOCYTE_MEDIATED_CYTOTOXICITY	133	91		
GOBP_REGULATION_OF_LEUKOCYTE_MEDIATED_CYTOTOXICITY	87	57		
GOBP_T_CELL_MEDIATED_CYTOTOXICITY	51	38		
GOBP_REGULATION_OF_T_CELL_MEDIATED_CYTOTOXICITY	41	30		
GOBP_NEGATIVE_REGULATION_OF_T_CELL_MEDIATED_CYTOTOXICITY	10		Rejected!	
GOBP_POSITIVE_REGULATION_OF_T_CELL_MEDIATED_CYTOTOXICITY	31	23		
GOBP_REGULATION_OF_RECEPTOR_RECYCLING	22	20		
GOBP_NEGATIVE_REGULATION_OF_RECEPTOR_RECYCLING	5		Rejected!	
GOBP_POSITIVE_REGULATION_OF_RECEPTOR_RECYCLING	12		Rejected!	
GOBP_B_1_B_CELL_DIFFERENTIATION	5		Rejected!	
GOBP_REGULATION_OF_PROTEIN_PHOSPHORYLATION	1124		Rejected!	
GOBP_ENDOTHELIAL_CELL_PROLIFERATION	206	139		
GOBP_NEGATIVE_REGULATION_OF_ENDOTHELIAL_CELL_PROLIFERATION	77	35		
GOBP_POSITIVE_REGULATION_OF_ENDOTHELIAL_CELL_PROLIFERATION	115	87		
GOBP_POSTSYNAPTIC_MEMBRANE_ORGANIZATION	37	36		
GOBP_VASCULATURE_DEVELOPMENT	819		Rejected!	
GOBP_LYMPH_VESSEL_DEVELOPMENT	31	28		
GOBP_LYMPHANGIOGENESIS	18	17		
GOBP_REGULATION_OF_CELL_MATRIX_ADHESION	125	113		
GOBP_NEGATIVE_REGULATION_OF_CELL_MATRIX_ADHESION	40	35		
GOBP_POSITIVE_REGULATION_OF_CELL_MATRIX_ADHESION	56	51		
GOBP_BLOOD_VESSEL_MATURATION	8		Rejected!	
GOBP_POSITIVE_REGULATION_OF_NEUROTRANSMITTER_SECRETION	18	17		
GOBP_SYNAPTIC_TRANSMISSION_DOPAMINERGIC	27	21		
GOBP_STARTLE_RESPONSE	25	21		
GOBP_SUCKLING_BEHAVIOR	12		Rejected!	
GOBP_BLOOD_VESSEL_REMODELING	48	36		
GOBP_RESPONSE_TO_AMPHETAMINE	30	27		
GOBP_NERVOUS_SYSTEM_PROCESS_INVOLVED_IN_REGULATION_OF_SYSTEMIC_ARTERIAL_BLOOD_PRESSURE	14		Rejected!	
GOBP_RENAL_SYSTEM_PROCESS_INVOLVED_IN_REGULATION_OF_BLOOD_VOLUME	15		Rejected!	
GOBP_REGULATION_OF_SYSTEMIC_ARTERIAL_BLOOD_PRESSURE_BY_HORMONE	39	28		
GOBP_REGULATION_OF_SYSTEMIC_ARTERIAL_BLOOD_PRESSURE_BY_CIRCULATORY_RENIN_ANGIOTENSIN	17		Rejected!	
GOBP_REGULATION_OF_SYSTEMIC_ARTERIAL_BLOOD_PRESSURE_BY_VASOPRESSIN	5		Rejected!	
GOBP_REGULATION_OF_SYSTEMIC_ARTERIAL_BLOOD_PRESSURE_BY_NOREPINEPHRINE_EPINEPHRINE	9		Rejected!	
GOBP_RENIN_SECRETION_INTO_BLOOD_STREAM	6		Rejected!	
GOBP_REGULATION_OF_ANGIOTENSIN_LEVELS_IN_BLOOD	10		Rejected!	
GOBP_MORPHOGENESIS_OF_AN_EPITHELIUM	524	468		
GOBP_MORPHOGENESIS_OF_AN_EPITHELIAL_SHEET	61	56		
GOBP_REGULATION_OF_BLOOD_VOLUME_BY_RENIN_ANGIOTENSIN	9		Rejected!	
GOBP_RESPONSE_TO_DIETARY_EXCESS	34	27		
GOBP_REDUCTION_OF_FOOD_INTAKE_IN_RESPONSE_TO_DIETARY_EXCESS	6		Rejected!	
GOBP_DIET_INDUCED_THERMOGENESIS	13		Rejected!	
GOBP_REGULATION_OF_THE_FORCE_OF_HEART_CONTRACTION	26	20		
GOBP_REGULATION_OF_HEART_RATE	107	88		
GOBP_REGULATION_OF_SODIUM_ION_TRANSPORT	92	76		
GOBP_G_PROTEIN_COUPLED_RECEPTOR_INTERNALIZATION	15		Rejected!	
GOBP_BRAIN_RENIN_ANGIOTENSIN_SYSTEM	5		Rejected!	
GOBP_REGULATION_OF_L_GLUTAMATE_IMPORT_ACROSS_PLASMA_MEMBRANE	8		Rejected!	
GOBP_SPROUTING_ANGIOGENESIS	188	117		
GOBP_CELL_MIGRATION_INVOLVED_IN_SPROUTING_ANGIOGENESIS	94	51		
GOBP_BLOOD_VESSEL_ENDOTHELIAL_CELL_PROLIFERATION_INVOLVED_IN_SPROUTING_ANGIOGENESIS	55	22		
GOBP_POSITIVE_REGULATION_OF_NEUROBLAST_PROLIFERATION	28	25		
GOBP_POSITIVE_REGULATION_OF_MESENCHYMAL_CELL_PROLIFERATION	23	23		
GOBP_CHONDROCYTE_DIFFERENTIATION	114	111		
GOBP_CHONDROCYTE_DEVELOPMENT	32	32		
GOBP_EPITHELIAL_CELL_DEVELOPMENT	218	194		
GOBP_COLUMNAR_CUBOIDAL_EPITHELIAL_CELL_DIFFERENTIATION	116	93		
GOBP_COLUMNAR_CUBOIDAL_EPITHELIAL_CELL_DEVELOPMENT	50	46		
GOBP_GLANDULAR_EPITHELIAL_CELL_DIFFERENTIATION	73	59		
GOBP_GLANDULAR_EPITHELIAL_CELL_DEVELOPMENT	37	34		
GOBP_COLUMNAR_CUBOIDAL_EPITHELIAL_CELL_MATURATION	11		Rejected!	
GOBP_EPITHELIAL_CELL_MATURATION	22	21		
GOBP_GLANDULAR_EPITHELIAL_CELL_MATURATION	9		Rejected!	
GOBP_OPTIC_CUP_MORPHOGENESIS_INVOLVED_IN_CAMERA_TYPE_EYE_DEVELOPMENT	7		Rejected!	
GOBP_OSTEOBLAST_DEVELOPMENT	18	17		
GOBP_REGULATION_OF_OXIDATIVE_PHOSPHORYLATION	23	21		
GOBP_PROTEIN_DEPALMITOYLATION	10		Rejected!	
GOBP_INHIBITION_OF_NEUROEPITHELIAL_CELL_DIFFERENTIATION	5		Rejected!	
GOBP_REGULATION_OF_RESPIRATORY_GASEOUS_EXCHANGE_BY_NERVOUS_SYSTEM_PROCESS	12		Rejected!	
GOBP_LENS_DEVELOPMENT_IN_CAMERA_TYPE_EYE	86	68		
GOBP_LENS_MORPHOGENESIS_IN_CAMERA_TYPE_EYE	21	19		
GOBP_REGULATION_OF_RECEPTOR_INTERNALIZATION	60	52		
GOBP_NEGATIVE_REGULATION_OF_RECEPTOR_INTERNALIZATION	17	15		
GOBP_POSITIVE_REGULATION_OF_RECEPTOR_INTERNALIZATION	28	24		
GOBP_AUDITORY_RECEPTOR_CELL_MORPHOGENESIS	18	15		
GOBP_TRNA_WOBBLE_BASE_MODIFICATION	21	20		
GOBP_STORE_OPERATED_CALCIUM_ENTRY	22	19		
GOBP_AGGRESSIVE_BEHAVIOR	8		Rejected!	
GOBP_THYROID_HORMONE_MEDIATED_SIGNALING_PATHWAY	8		Rejected!	
GOBP_OSTEOCLAST_PROLIFERATION	11		Rejected!	
GOBP_CYTOPLASMIC_TRANSLATION	161	157		
GOBP_CYTOPLASMIC_TRANSLATIONAL_ELONGATION	13		Rejected!	
GOBP_CYTOPLASMIC_TRANSLATIONAL_INITIATION	40	40		
GOBP_CAP_DEPENDENT_TRANSLATIONAL_INITIATION	7		Rejected!	
GOBP_SOMATIC_DIVERSIFICATION_OF_IMMUNE_RECEPTORS	83	76		
GOBP_SOMATIC_DIVERSIFICATION_OF_IMMUNOGLOBULINS_INVOLVED_IN_IMMUNE_RESPONSE	53	47		
GOBP_BEHAVIORAL_DEFENSE_RESPONSE	39	33		
GOBP_ACTIVATION_OF_INNATE_IMMUNE_RESPONSE	64	44		
GOBP_PATTERN_RECOGNITION_RECEPTOR_SIGNALING_PATHWAY	191	160		
GOBP_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY	126	104		
GOBP_INNATE_IMMUNE_RESPONSE_IN_MUCOSA	28	15		
GOBP_NATURAL_KILLER_CELL_MEDIATED_IMMUNITY	78	51		
GOBP_POSITIVE_REGULATION_OF_DEFENSE_RESPONSE_TO_VIRUS_BY_HOST	31	26		
GOBP_LEUKOCYTE_CHEMOTAXIS_INVOLVED_IN_INFLAMMATORY_RESPONSE	8		Rejected!	
GOBP_RESPONSE_TO_MOLECULE_OF_BACTERIAL_ORIGIN	360	277		
GOBP_RESPONSE_TO_MOLECULE_OF_FUNGAL_ORIGIN	5		Rejected!	
GOBP_HEMATOPOIETIC_PROGENITOR_CELL_DIFFERENTIATION	133	123		
GOBP_WOUND_HEALING_INVOLVED_IN_INFLAMMATORY_RESPONSE	9		Rejected!	
GOBP_CONNECTIVE_TISSUE_REPLACEMENT_INVOLVED_IN_INFLAMMATORY_RESPONSE_WOUND_HEALING	7		Rejected!	
GOBP_LYMPHOCYTE_ANERGY	8		Rejected!	
GOBP_ADAPTIVE_IMMUNE_RESPONSE	729	335		
GOBP_ORGAN_OR_TISSUE_SPECIFIC_IMMUNE_RESPONSE	43	23		
GOBP_IMMUNE_EFFECTOR_PROCESS	694	472		
GOBP_ACTIVATION_OF_IMMUNE_RESPONSE	391	248		
GOBP_LYMPHOCYTE_HOMEOSTASIS	69	57		
GOBP_MYELOID_CELL_HOMEOSTASIS	170	150		
GOBP_CELL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE	299	223		
GOBP_LEUKOCYTE_ACTIVATION_INVOLVED_IN_INFLAMMATORY_RESPONSE	50	37		
GOBP_MYELOID_LEUKOCYTE_ACTIVATION	239	182		
GOBP_MYELOID_CELL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE	98	77		
GOBP_MACROPHAGE_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE	19		Rejected!	
GOBP_MICROGLIAL_CELL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE	5		Rejected!	
GOBP_NEUTROPHIL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE	21	16		
GOBP_LYMPHOCYTE_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE	208	152		
GOBP_T_CELL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE	118	81		
GOBP_T_CELL_ACTIVATION_VIA_T_CELL_RECEPTOR_CONTACT_WITH_ANTIGEN_BOUND_TO_MHC_MOLECULE_ON_ANTIGEN_PRESENTING_CELL	10		Rejected!	
GOBP_T_CELL_DIFFERENTIATION_INVOLVED_IN_IMMUNE_RESPONSE	79	60		
GOBP_T_HELPER_CELL_LINEAGE_COMMITMENT	18		Rejected!	
GOBP_T_CELL_PROLIFERATION_INVOLVED_IN_IMMUNE_RESPONSE	5		Rejected!	
GOBP_B_CELL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE	88	73		
GOBP_MATURE_B_CELL_DIFFERENTIATION_INVOLVED_IN_IMMUNE_RESPONSE	31	22		
GOBP_GERMINAL_CENTER_B_CELL_DIFFERENTIATION	9		Rejected!	
GOBP_MARGINAL_ZONE_B_CELL_DIFFERENTIATION	9		Rejected!	
GOBP_PLASMA_CELL_DIFFERENTIATION	8		Rejected!	
GOBP_MYELOID_PROGENITOR_CELL_DIFFERENTIATION	9		Rejected!	
GOBP_LYMPHOID_PROGENITOR_CELL_DIFFERENTIATION	24	23		
GOBP_B_CELL_PROLIFERATION_INVOLVED_IN_IMMUNE_RESPONSE	6		Rejected!	
GOBP_NATURAL_KILLER_CELL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE	35		Rejected!	
GOBP_B_CELL_LINEAGE_COMMITMENT	6		Rejected!	
GOBP_IMMATURE_B_CELL_DIFFERENTIATION	12		Rejected!	
GOBP_PRO_B_CELL_DIFFERENTIATION	12		Rejected!	
GOBP_MATURE_B_CELL_DIFFERENTIATION	37	27		
GOBP_RESPONSE_TO_TUMOR_CELL	41	34		
GOBP_HISTAMINE_PRODUCTION_INVOLVED_IN_INFLAMMATORY_RESPONSE	11		Rejected!	
GOBP_DEFENSE_RESPONSE_TO_TUMOR_CELL	13		Rejected!	
GOBP_T_CELL_LINEAGE_COMMITMENT	30	24		
GOBP_CD4_POSITIVE_CD25_POSITIVE_ALPHA_BETA_REGULATORY_T_CELL_DIFFERENTIATION	10		Rejected!	
GOBP_CYTOKINE_PRODUCTION_INVOLVED_IN_IMMUNE_RESPONSE	121	103		
